keys,en,fr,it,de,es,pt_BR
MAIN_MENU,Main Menu,,,,,
MENU_BOOT_LOADING,Loading...,,,,,
MENU_PLAY,Play,,,,,
MENU_SETTINGS,Settings,,,,,
MENU_EXIT,Exit,,,,,
MENU_BACK,Back,,,,,
PLAY_TITLE,Play,,,,,
SLOT_LABEL,Slot %d,,,,,
SLOT_EMPTY,Empty,,,,,
SETTINGS_TITLE,Settings,,,,,
SETTINGS_CONTROLS,Controls,,,,,
SETTINGS_VIDEO,Video,,,,,
SETTINGS_AUDIO,Audio,,,,,
SETTINGS_LANGUAGE,Language,,,,,
CONTROLS_TITLE,Controls,,,,,
VIDEO_TITLE,Video,,,,,
AUDIO_TITLE,Audio,,,,,
WIP,Coming soon.,,,,,,
EXIT_CONFIRM,Are you sure you want to quit?,,,,,
AUDIO_SOUND,Sound,,,,,
AUDIO_MUSIC,Music,,,,,
AUDIO_TEST,Test,,,,,
VIDEO_MODE,Window style,,,,,
VIDEO_RESOLUTION,Resolution,,,,,
VIDEO_EXCLUSIVE,Exclusive Fullscreen,,,,,
VIDEO_WINDOWED,Windowed,,,,,
VIDEO_BORDERLESS,Borderless window,,,,,
VIDEO_AUTO,Window is managed by the system.,,,,,
